run_id,case_id,configuration,model_call_count,input_tokens,output_tokens,total_tokens,token_usage_status,cost_status,n8n_execution_id
S10_EVAL-LOW-01_CONFIG-BASELINE_R02,EVAL-LOW-01,CONFIG-BASELINE,1,376,50,426,available,not_available,98
S10_EVAL-LOW-01_CONFIG-OBID_R02,EVAL-LOW-01,CONFIG-OBID,3,3291,116,3407,available,not_available,99
S10_EVAL-THRESHOLD-01_CONFIG-OBID_R02,EVAL-THRESHOLD-01,CONFIG-OBID,3,3305,105,3410,available,not_available,102
S10_EVAL-THRESHOLD-01_CONFIG-BASELINE_R02,EVAL-THRESHOLD-01,CONFIG-BASELINE,1,376,54,430,available,not_available,105
S10_EVAL-MALFORMED-01_CONFIG-BASELINE_R02,EVAL-MALFORMED-01,CONFIG-BASELINE,1,371,35,406,available,not_available,106
S10_EVAL-MALFORMED-01_CONFIG-OBID_R02,EVAL-MALFORMED-01,CONFIG-OBID,0,0,0,0,not_applicable,not_available,107
S10_EVAL-MEMORY-01A_CONFIG-OBID_R02,EVAL-MEMORY-01A,CONFIG-OBID,3,3327,122,3449,available,not_available,108
S10_EVAL-MEMORY-01B_CONFIG-OBID_R02,EVAL-MEMORY-01B,CONFIG-OBID,2,2520,68,2588,available,not_available,111
S10_EVAL-MEMORY-01C_CONFIG-OBID_R02,EVAL-MEMORY-01C,CONFIG-OBID,2,2836,97,2933,available,not_available,112
S10_EVAL-MEMORY-01A_CONFIG-BASELINE_R02,EVAL-MEMORY-01A,CONFIG-BASELINE,1,378,39,417,available,not_available,114
S10_EVAL-MEMORY-01B_CONFIG-BASELINE_R02,EVAL-MEMORY-01B,CONFIG-BASELINE,1,378,39,417,available,not_available,115
S10_EVAL-MEMORY-01C_CONFIG-BASELINE_R02,EVAL-MEMORY-01C,CONFIG-BASELINE,1,376,35,411,available,not_available,116
S10_EVAL-HIGH-01_CONFIG-OBID_R02,EVAL-HIGH-01,CONFIG-OBID,2,2195,122,2317,available,not_available,117
S10_EVAL-HIGH-01_CONFIG-BASELINE_R02,EVAL-HIGH-01,CONFIG-BASELINE,1,378,39,417,available,not_available,120
S10_EVAL-THRESHOLD-01_CONFIG-BASELINE_R03,EVAL-THRESHOLD-01,CONFIG-BASELINE,1,376,54,430,available,not_available,121
S10_EVAL-THRESHOLD-01_CONFIG-OBID_R03,EVAL-THRESHOLD-01,CONFIG-OBID,3,3297,120,3417,available,not_available,122
S10_EVAL-MALFORMED-01_CONFIG-OBID_R03,EVAL-MALFORMED-01,CONFIG-OBID,0,0,0,0,not_applicable,not_available,125
S10_EVAL-MALFORMED-01_CONFIG-BASELINE_R03,EVAL-MALFORMED-01,CONFIG-BASELINE,1,371,35,406,available,not_available,126
S10_EVAL-MEMORY-01A_CONFIG-BASELINE_R03,EVAL-MEMORY-01A,CONFIG-BASELINE,1,378,39,417,available,not_available,127
S10_EVAL-MEMORY-01B_CONFIG-BASELINE_R03,EVAL-MEMORY-01B,CONFIG-BASELINE,1,378,54,432,available,not_available,128
S10_EVAL-MEMORY-01C_CONFIG-BASELINE_R03,EVAL-MEMORY-01C,CONFIG-BASELINE,1,376,50,426,available,not_available,129
S10_EVAL-MEMORY-01A_CONFIG-OBID_R03,EVAL-MEMORY-01A,CONFIG-OBID,3,3303,188,3491,available,not_available,130
S10_EVAL-MEMORY-01B_CONFIG-OBID_R03,EVAL-MEMORY-01B,CONFIG-OBID,2,2498,60,2558,available,not_available,133
S10_EVAL-MEMORY-01C_CONFIG-OBID_R03,EVAL-MEMORY-01C,CONFIG-OBID,2,2790,82,2872,available,not_available,134
S10_EVAL-HIGH-01_CONFIG-BASELINE_R03,EVAL-HIGH-01,CONFIG-BASELINE,1,378,54,432,available,not_available,136
S10_EVAL-HIGH-01_CONFIG-OBID_R03,EVAL-HIGH-01,CONFIG-OBID,3,3319,122,3441,available,not_available,137
S10_EVAL-LOW-01_CONFIG-OBID_R03,EVAL-LOW-01,CONFIG-OBID,3,3291,116,3407,available,not_available,140
S10_EVAL-LOW-01_CONFIG-BASELINE_R03,EVAL-LOW-01,CONFIG-BASELINE,1,376,50,426,available,not_available,143
S10_EVAL-MALFORMED-01_CONFIG-BASELINE_R04,EVAL-MALFORMED-01,CONFIG-BASELINE,1,371,50,421,available,not_available,144
S10_EVAL-MALFORMED-01_CONFIG-OBID_R04,EVAL-MALFORMED-01,CONFIG-OBID,0,0,0,0,not_applicable,not_available,145
S10_EVAL-MEMORY-01A_CONFIG-OBID_R04,EVAL-MEMORY-01A,CONFIG-OBID,3,3313,122,3435,available,not_available,146
S10_EVAL-MEMORY-01B_CONFIG-OBID_R04,EVAL-MEMORY-01B,CONFIG-OBID,2,2526,68,2594,available,not_available,149
S10_EVAL-MEMORY-01C_CONFIG-OBID_R04,EVAL-MEMORY-01C,CONFIG-OBID,2,2834,97,2931,available,not_available,150
S10_EVAL-MEMORY-01A_CONFIG-BASELINE_R04,EVAL-MEMORY-01A,CONFIG-BASELINE,1,378,39,417,available,not_available,152
S10_EVAL-MEMORY-01B_CONFIG-BASELINE_R04,EVAL-MEMORY-01B,CONFIG-BASELINE,1,378,39,417,available,not_available,153
S10_EVAL-MEMORY-01C_CONFIG-BASELINE_R04,EVAL-MEMORY-01C,CONFIG-BASELINE,1,376,35,411,available,not_available,154
S10_EVAL-HIGH-01_CONFIG-OBID_R04,EVAL-HIGH-01,CONFIG-OBID,2,2193,122,2315,available,not_available,155
S10_EVAL-HIGH-01_CONFIG-BASELINE_R04,EVAL-HIGH-01,CONFIG-BASELINE,1,378,39,417,available,not_available,158
S10_EVAL-LOW-01_CONFIG-BASELINE_R04,EVAL-LOW-01,CONFIG-BASELINE,1,376,50,426,available,not_available,159
S10_EVAL-LOW-01_CONFIG-OBID_R04,EVAL-LOW-01,CONFIG-OBID,3,3303,116,3419,available,not_available,160
S10_EVAL-THRESHOLD-01_CONFIG-OBID_R04,EVAL-THRESHOLD-01,CONFIG-OBID,3,3309,105,3414,available,not_available,163
S10_EVAL-THRESHOLD-01_CONFIG-BASELINE_R04,EVAL-THRESHOLD-01,CONFIG-BASELINE,1,376,39,415,available,not_available,166
S10_EVAL-MEMORY-01A_CONFIG-BASELINE_R05,EVAL-MEMORY-01A,CONFIG-BASELINE,1,378,54,432,available,not_available,167
S10_EVAL-MEMORY-01B_CONFIG-BASELINE_R05,EVAL-MEMORY-01B,CONFIG-BASELINE,1,378,54,432,available,not_available,168
S10_EVAL-MEMORY-01C_CONFIG-BASELINE_R05,EVAL-MEMORY-01C,CONFIG-BASELINE,1,376,35,411,available,not_available,169
S10_EVAL-MEMORY-01A_CONFIG-OBID_R05,EVAL-MEMORY-01A,CONFIG-OBID,3,3303,122,3425,available,not_available,170
S10_EVAL-MEMORY-01B_CONFIG-OBID_R05,EVAL-MEMORY-01B,CONFIG-OBID,2,2522,68,2590,available,not_available,173
S10_EVAL-MEMORY-01C_CONFIG-OBID_R05,EVAL-MEMORY-01C,CONFIG-OBID,2,2832,97,2929,available,not_available,174
S10_EVAL-HIGH-01_CONFIG-BASELINE_R05,EVAL-HIGH-01,CONFIG-BASELINE,1,378,39,417,available,not_available,176
S10_EVAL-HIGH-01_CONFIG-OBID_R05,EVAL-HIGH-01,CONFIG-OBID,2,2203,122,2325,available,not_available,177
S10_EVAL-LOW-01_CONFIG-OBID_R05,EVAL-LOW-01,CONFIG-OBID,3,3299,101,3400,available,not_available,180
S10_EVAL-LOW-01_CONFIG-BASELINE_R05,EVAL-LOW-01,CONFIG-BASELINE,1,376,35,411,available,not_available,183
S10_EVAL-THRESHOLD-01_CONFIG-BASELINE_R05,EVAL-THRESHOLD-01,CONFIG-BASELINE,1,376,39,415,available,not_available,184
S10_EVAL-THRESHOLD-01_CONFIG-OBID_R05,EVAL-THRESHOLD-01,CONFIG-OBID,3,3311,120,3431,available,not_available,185
S10_EVAL-MALFORMED-01_CONFIG-OBID_R05,EVAL-MALFORMED-01,CONFIG-OBID,0,0,0,0,not_applicable,not_available,188
S10_EVAL-MALFORMED-01_CONFIG-BASELINE_R05,EVAL-MALFORMED-01,CONFIG-BASELINE,1,371,55,426,available,not_available,189
S10_EVAL-INVALID-ACTION-01_CONFIG-OBID_R01,EVAL-INVALID-ACTION-01,CONFIG-OBID,0,0,0,0,not_applicable,not_available,190
S10_EVAL-INVALID-ACTION-01_CONFIG-OBID_R02,EVAL-INVALID-ACTION-01,CONFIG-OBID,0,0,0,0,not_applicable,not_available,192
S10_EVAL-INVALID-ACTION-01_CONFIG-OBID_R03,EVAL-INVALID-ACTION-01,CONFIG-OBID,0,0,0,0,not_applicable,not_available,194
S10_EVAL-INVALID-ACTION-01_CONFIG-OBID_R04,EVAL-INVALID-ACTION-01,CONFIG-OBID,0,0,0,0,not_applicable,not_available,196
S10_EVAL-INVALID-ACTION-01_CONFIG-OBID_R05,EVAL-INVALID-ACTION-01,CONFIG-OBID,0,0,0,0,not_applicable,not_available,198
S10_EVAL-HITL-01A_CONFIG-OBID_R01,EVAL-HITL-01A,CONFIG-OBID,0,0,0,0,not_applicable,not_available,200
S10_EVAL-HITL-01B_CONFIG-OBID_R01,EVAL-HITL-01B,CONFIG-OBID,0,0,0,0,not_applicable,not_available,202
S10_EVAL-HITL-01B_CONFIG-OBID_R02,EVAL-HITL-01B,CONFIG-OBID,0,0,0,0,not_applicable,not_available,204
S10_EVAL-HITL-01A_CONFIG-OBID_R02,EVAL-HITL-01A,CONFIG-OBID,0,0,0,0,not_applicable,not_available,206
S10_EVAL-HITL-01A_CONFIG-OBID_R03,EVAL-HITL-01A,CONFIG-OBID,0,0,0,0,not_applicable,not_available,208
S10_EVAL-HITL-01B_CONFIG-OBID_R03,EVAL-HITL-01B,CONFIG-OBID,0,0,0,0,not_applicable,not_available,210
S10_EVAL-HITL-01B_CONFIG-OBID_R04,EVAL-HITL-01B,CONFIG-OBID,0,0,0,0,not_applicable,not_available,212
S10_EVAL-HITL-01A_CONFIG-OBID_R04,EVAL-HITL-01A,CONFIG-OBID,0,0,0,0,not_applicable,not_available,214
S10_EVAL-HITL-01A_CONFIG-OBID_R05,EVAL-HITL-01A,CONFIG-OBID,0,0,0,0,not_applicable,not_available,216
S10_EVAL-HITL-01B_CONFIG-OBID_R05,EVAL-HITL-01B,CONFIG-OBID,0,0,0,0,not_applicable,not_available,218
